run,test_id,expected,score_exact,searched,keywords,archive_hit,answer_session_returned,answer_session_start_from_end,in_window,n_requests,max_msgs
opus_archive,lme_0004,Summer Vibes,0.0,0,,0,0,383,0,1,102
opus_archive,lme_0005,Johnson,1.0,0,,0,0,88,1,1,102
opus_archive,lme_0006,Serenity Yoga,1.0,0,,0,0,12,1,1,102
opus_archive,lme_0007,a lighter shade of gray,1.0,0,,0,0,97,1,1,102
opus_archive,lme_0008,February 14th,0.5,0,,0,0,12,1,1,102
opus_archive,lme_0009,the sports store downtown,0.8,1,tennis racket|tennis|happy with my new tennis racket|sporting goods|racket from,1,1,221,0,8,116
opus_archive,lme_0010,Marketing specialist at a small startup,0.0,1,occupation|Carvana,1,0,269,0,3,106
opus_archive,lme_0011,$800,1.0,1,handbag,1,1,325,0,2,104
opus_archive,lme_0012,20,0.0,0,,0,0,468,0,1,102
opus_archive,lme_0013,University of Melbourne in Australia,0.0,0,,0,0,248,0,1,102
opus_archive,lme_0014,10%,1.0,1,discount|clothing brand,1,1,388,0,3,106
opus_archive,lme_0015,4 hours,1.0,0,,0,0,36,1,1,102
opus_archive,lme_0016,a yellow dress,1.0,1,sister birthday gift|birthday,1,1,344,0,3,106
opus_archive,lme_0017,500 Mbps,1.0,1,internet plan|Mbps,1,1,295,0,3,106
opus_archive,lme_0018,7,1.0,0,,0,0,56,1,1,102
opus_archive,lme_0019,A staunch atheist,1.0,1,spirituality|religion,1,1,323,0,3,106
opus_archive,lme_0020,Nike,1.0,0,,0,0,70,1,1,102
opus_archive,lme_0021,Data Science,1.0,0,,0,0,85,1,1,102
opus_archive,lme_0022,three,0.0,1,bike|bicycle|bikes|Trek Emonda|gravel,1,1,160,0,9,118
opus_archive,lme_0023,Golden Retriever,1.0,1,dog|breed|Max|dog walker|Golden Retriever|Labrador|German Shepherd|Beagle,1,1,255,0,11,122
opus_archive,lme_0024,12,1.0,1,fishing|Lake Michigan|largemouth bass|I caught|fishing trip to Lake Michigan,1,1,442,0,11,122
sonnet_archive_repeat,lme_0000,Business Administration,1.0,0,,0,0,24,1,1,102
sonnet_archive_repeat,lme_0001,45 minutes each way,0.0,0,,0,0,405,0,1,102
sonnet_archive_repeat,lme_0002,Target,0.0,0,,0,0,89,1,1,102
sonnet_archive_repeat,lme_0003,The Glass Menagerie,0.0,0,,0,0,297,0,1,102
sonnet_archive_repeat,lme_0004,Summer Vibes,0.0,0,,0,0,383,0,1,102
sonnet_archive_repeat,lme_0005,Johnson,1.0,0,,0,0,88,1,1,102
sonnet_archive_repeat,lme_0006,Serenity Yoga,1.0,0,,0,0,12,1,1,102
sonnet_archive_repeat,lme_0007,a lighter shade of gray,1.0,0,,0,0,97,1,1,102
sonnet_archive_repeat,lme_0008,February 14th,0.5,0,,0,0,12,1,1,102
sonnet_archive_repeat,lme_0009,the sports store downtown,0.0,0,,0,0,221,0,1,102
sonnet_archive_repeat,lme_0010,Marketing specialist at a small startup,0.0,0,,0,0,269,0,1,102
sonnet_archive_repeat,lme_0011,$800,0.0,0,,0,0,325,0,1,102
sonnet_archive_repeat,lme_0012,20,0.0,0,,0,0,468,0,1,102
sonnet_archive_repeat,lme_0013,University of Melbourne in Australia,0.0,0,,0,0,248,0,1,102
sonnet_archive_repeat,lme_0014,10%,1.0,0,,0,0,388,0,1,102
sonnet_archive_repeat,lme_0015,4 hours,1.0,0,,0,0,36,1,1,102
sonnet_archive_repeat,lme_0016,a yellow dress,0.0,0,,0,0,344,0,1,102
sonnet_archive_repeat,lme_0017,500 Mbps,0.0,0,,0,0,295,0,1,102
sonnet_archive_repeat,lme_0018,7,1.0,0,,0,0,56,1,1,102
sonnet_archive_repeat,lme_0019,A staunch atheist,0.0,0,,0,0,323,0,1,102
sonnet_archive_repeat,lme_0020,Nike,1.0,0,,0,0,70,1,1,102
sonnet_archive_repeat,lme_0021,Data Science,1.0,0,,0,0,85,1,1,102
sonnet_archive_repeat,lme_0022,three,0.0,0,,0,0,160,0,1,102
sonnet_archive_repeat,lme_0023,Golden Retriever,0.0,0,,0,0,255,0,1,102
sonnet_archive_repeat,lme_0024,12,0.0,0,,0,0,442,0,1,102
opus_control,lme_0000,Business Administration,1.0,0,,0,0,24,1,1,102
opus_control,lme_0001,45 minutes each way,0.0,1,commute|work drive,0,0,405,0,3,106
opus_control,lme_0002,Target,1.0,0,,0,0,89,1,1,102
opus_control,lme_0003,The Glass Menagerie,0.0,1,theater|play,0,0,297,0,3,106
opus_control,lme_0004,Summer Vibes,0.0,0,,0,0,383,0,1,102
opus_control,lme_0005,Johnson,1.0,0,,0,0,88,1,1,102
opus_control,lme_0006,Serenity Yoga,1.0,0,,0,0,12,1,1,102
opus_control,lme_0007,a lighter shade of gray,1.0,0,,0,0,97,1,1,102
opus_control,lme_0008,February 14th,0.5,0,,0,0,12,1,1,102
opus_control,lme_0009,the sports store downtown,0.0,1,tennis|racket,0,0,221,0,3,106
opus_control,lme_0010,Marketing specialist at a small startup,0.0,1,Carvana|occupation|ATD,0,0,269,0,5,110
opus_control,lme_0011,$800,0.0,0,,0,0,325,0,1,102
opus_control,lme_0012,20,0.0,0,,0,0,468,0,1,102
opus_control,lme_0013,University of Melbourne in Australia,0.0,0,,0,0,248,0,1,102
opus_control,lme_0014,10%,1.0,1,discount|clothing brand,0,0,388,0,3,106
opus_control,lme_0015,4 hours,1.0,0,,0,0,36,1,1,102
opus_control,lme_0016,a yellow dress,0.0,1,sister|birthday gift,0,0,344,0,3,106
opus_control,lme_0017,500 Mbps,0.0,1,internet plan|Mbps,0,0,295,0,3,106
opus_control,lme_0018,7,1.0,0,,0,0,56,1,1,102
opus_control,lme_0019,A staunch atheist,0.0,1,spirituality|religion,0,0,323,0,3,106
opus_control,lme_0020,Nike,1.0,0,,0,0,70,1,1,102
opus_control,lme_0021,Data Science,1.0,0,,0,0,85,1,1,102
opus_control,lme_0022,three,0.0,1,bike|bicycle,0,0,160,0,3,106
opus_control,lme_0023,Golden Retriever,0.0,1,dog|breed|pet,0,0,255,0,4,108
opus_control,lme_0024,12,0.0,1,fishing|Lake Michigan,0,0,442,0,3,106
